,identifier,language,code,label
23,146206-v1.0.0,java,"resultSet = sqlStatement.executeQuery(""select * from users where name='""+data+""'"");
",bad
24,146206-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""select * from users where name=?"");
preparedStatement.setString(1, data);
resultSet = preparedStatement.executeQuery();
",good
25,147885-v1.0.0,java,"data = request.getParameter(""name"");
sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",bad
26,147885-v1.0.0,good,"// Use parameterized queries to prevent SQL injection
sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",good
27,147885-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",bad
28,147885-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
// Change the above line to the following to prevent SQL injection
// sqlStatement.setString(1, sanitizeInput(data));
// where sanitizeInput is a function that sanitizes the input to prevent SQL injection
",good
29,147885-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name='""+data+""'"");
",bad
30,147885-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",good
31,146699-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",bad
32,146699-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",good
33,146699-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",bad
34,146699-v1.0.0,good,"// Validate and sanitize the data before using it in the SQL query
String sanitizedData = sanitizeInput(data);
sqlStatement.setString(1, sanitizedData);
",good
35,148162-v1.0.0,java,"int rowCount = sqlStatement.executeUpdate(""insert into users (status) values ('updated') where name='""+data+""'"");
",bad
36,148162-v1.0.0,good,"PreparedStatement pstmt = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
pstmt.setString(1, data);
int rowCount = pstmt.executeUpdate();
",good
37,146378-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",bad
38,146378-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, sanitizeInput(data));
",good
39,147623-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",bad
40,147623-v1.0.0,java,"resultSet = sqlStatement.executeQuery(""select * from users where name='""+data+""'"");
",bad
41,147623-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""select * from users where name=?"");
preparedStatement.setString(1, data);
resultSet = preparedStatement.executeQuery();
",good
42,147623-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",bad
43,147623-v1.0.0,good,"// Use parameterized queries to prevent SQL injection
sqlStatement = dbConnection.prepareStatement(""select * from users where name = ?"");
sqlStatement.setString(1, data);
",good
44,148289-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name='""+data+""'"");
",bad
45,148289-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",good
46,147455-v1.0.0,java,"data = token.substring(3);
",bad
47,147455-v1.0.0,good,"data = request.getParameter(""id"");
",good
48,148226-v1.0.0,java,"int rowCount = sqlStatement.executeUpdate(""insert into users (status) values ('updated') where name='""+data+""'"");
",bad
49,148226-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
preparedStatement.setString(1, data);
int rowCount = preparedStatement.executeUpdate();
",good
50,148226-v1.0.0,java,"data = readerBuffered.readLine();
",bad
51,148226-v1.0.0,good,"// Use a PreparedStatement with parameters instead of concatenating the data into the query string
PreparedStatement stmt = conn.prepareStatement(""SELECT * FROM table WHERE column = ?"");
stmt.setString(1, data);
ResultSet rs = stmt.executeQuery();
",good
52,148226-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",bad
53,148226-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name = ?"");
sqlStatement.setString(1, data);
",good
54,147909-v1.0.0,java,"Boolean result = sqlStatement.execute(""insert into users (status) values ('updated') where name='""+data+""'"");
",bad
55,147909-v1.0.0,good,"PreparedStatement pstmt = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
pstmt.setString(1, data);
Boolean result = pstmt.execute();
",good
56,146737-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",bad
57,146737-v1.0.0,good,"// Validate and sanitize the data variable before using it in the SQL statement
String sanitizedData = sanitizeInput(data);
sqlStatement.setString(1, sanitizedData);
",good
58,146737-v1.0.0,java,"(new CWE89_SQL_Injection__console_readLine_executeQuery_52b()).badSink(data );
",bad
59,146737-v1.0.0,good,"PreparedStatement statement = connection.prepareStatement(""SELECT * FROM table WHERE column = ?"");
statement.setString(1, data);
ResultSet resultSet = statement.executeQuery();
",good
60,146737-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",bad
61,146737-v1.0.0,good,"// Use a whitelist or a pattern to validate the user input before using it in the SQL query
String pattern = ""^[a-zA-Z0-9]+$"";
if (!data.matches(pattern)) {
    throw new IllegalArgumentException(""Invalid input"");
}
sqlStatement.setString(1, data);
",good
62,147864-v1.0.0,java,"resultSet = sqlStatement.executeQuery(""select * from users where name='""+data+""'"");
",bad
63,147864-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""select * from users where name=?"");
preparedStatement.setString(1, data);
resultSet = preparedStatement.executeQuery();
",good
64,146544-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",bad
65,146544-v1.0.0,good,"// Use parameterized query to prevent SQL injection
sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, sanitizeInput(data));

// Add a method to sanitize user input
private String sanitizeInput(String input) {
    // Implement input sanitization logic here
    // This could include escaping special characters, whitelisting allowed characters, etc.
    // For example, using a library like OWASP's ESAPI could help with this.
}
",good
66,146730-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
sqlStatement.setString(1, names[i]);
",bad
67,146730-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
sqlStatement.setString(1, names[i].replaceAll(""[';\\-]"", """"));
",good
68,146686-v1.0.0,java,"sqlStatement.addBatch(""update users set hitcount=hitcount+1 where name='"" + names[i] + ""'"");
",bad
69,146686-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
preparedStatement.setString(1, names[i]);
sqlStatement.addBatch(preparedStatement);
",good
70,147122-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
sqlStatement.setString(1, names[i]);
",bad
71,147440-v1.0.0,java,"preparedStatement = connection.prepareStatement(""select name from users where id=0"");
",bad
72,147440-v1.0.0,good,"String id = ""0""; // Assume this value comes from user input
preparedStatement = connection.prepareStatement(""select name from users where id=?"");
preparedStatement.setString(1, id);
",good
73,147440-v1.0.0,java,"int rowCount = sqlStatement.executeUpdate(""insert into users (status) values ('updated') where name='""+data+""'"");
",bad
74,147440-v1.0.0,good,"PreparedStatement pstmt = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
pstmt.setString(1, data);
int rowCount = pstmt.executeUpdate();
",good
75,147440-v1.0.0,java,"(new CWE89_SQL_Injection__console_readLine_executeUpdate_22b()).goodB2G2Sink(data );
",bad
76,147440-v1.0.0,good,"String query = ""SELECT * FROM table WHERE column = ?"";
PreparedStatement stmt = conn.prepareStatement(query);
stmt.setString(1, data);
ResultSet rs = stmt.executeQuery();
",good
77,147604-v1.0.0,java,"(new CWE89_SQL_Injection__console_readLine_executeUpdate_22b()).badSink(data);
",bad
78,147604-v1.0.0,good,"public void badSink(Connection conn, String data) throws SQLException {
    String sql = ""SELECT * FROM table WHERE column = ?"";
    PreparedStatement stmt = conn.prepareStatement(sql);
    stmt.setString(1, data);
    ResultSet rs = stmt.executeQuery();
    // process results
    stmt.close();
}
",good
79,147985-v1.0.0,java,"(new CWE89_SQL_Injection__console_readLine_executeUpdate_22b()).goodB2G1Sink(data );
",bad
80,146727-v1.0.0,java,"sqlStatement.addBatch(""update users set hitcount=hitcount+1 where name='"" + names[i] + ""'"");
",bad
81,146727-v1.0.0,good,"PreparedStatement pstmt = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
for (int i = 0; i < names.length; i++) {
    pstmt.setString(1, names[i]);
    pstmt.addBatch();
}
int resultsArray[] = pstmt.executeBatch();
",good
82,148352-v1.0.0,java,"data = readerBuffered.readLine();
",bad
83,148352-v1.0.0,good,"String query = ""SELECT * FROM table WHERE column = ?"";
PreparedStatement statement = connection.prepareStatement(query);
statement.setString(1, data);
ResultSet resultSet = statement.executeQuery();
",good
84,148326-v1.0.0,java,"int rowCount = sqlStatement.executeUpdate(""insert into users (status) values ('updated') where name='""+data+""'"");
",bad
85,148326-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
int rowCount = sqlStatement.executeUpdate();
",good
86,148326-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",bad
87,148326-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
// Validate and sanitize the data before using it in the prepared statement
data = sanitizeInput(data);
sqlStatement.setString(1, data);
",good
88,148326-v1.0.0,java,"Boolean result = sqlStatement.execute(""insert into users (status) values ('updated') where name='""+data+""'"");
",bad
89,148326-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
preparedStatement.setString(1, data);
Boolean result = preparedStatement.execute();
",good
90,146217-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",bad
91,146217-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",good
92,146217-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
sqlStatement.setString(1, names[i]);
",bad
93,146217-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
sqlStatement.setString(1, names[i].replaceAll(""[';\\-]"", """"));
",good
94,146217-v1.0.0,java,"sqlStatement.addBatch(""update users set hitcount=hitcount+1 where name='"" + names[i] + ""'"");
",bad
95,146217-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
for (int i = 0; i < names.length; i++) {
    preparedStatement.setString(1, names[i]);
    preparedStatement.addBatch();
}
int resultsArray[] = preparedStatement.executeBatch();
",good
96,146354-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
sqlStatement.setString(1, names[i]);
",bad
97,146354-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
sqlStatement.setString(1, names[i].replaceAll(""[';\\-]"", """"));
",good
98,148299-v1.0.0,java,"baseObject.action(data);
",bad
99,148299-v1.0.0,java,"(new CWE89_SQL_Injection__File_executeBatch_71b()).badSink((Object)data);
",bad
100,140883-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",bad
101,140883-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, sanitizeInput(data));
",good
102,147355-v1.0.0,java,"resultSet = sqlStatement.executeQuery(""select * from users where name='""+data+""'"");
",bad
103,147355-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""select * from users where name=?"");
preparedStatement.setString(1, data);
resultSet = preparedStatement.executeQuery();
",good
104,146674-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",bad
105,146674-v1.0.0,good,"// Use parameterized queries to prevent SQL injection
sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, sanitizeInput(data));
",good
106,147874-v1.0.0,java,"int rowCount = sqlStatement.executeUpdate(""insert into users (status) values ('updated') where name='""+data+""'"");
",bad
107,147874-v1.0.0,good,"PreparedStatement pstmt = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
pstmt.setString(1, data);
int rowCount = pstmt.executeUpdate();
",good
108,147191-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
sqlStatement.setString(1, names[i]);
",bad
109,147659-v1.0.0,java,"sqlStatement.addBatch(""update users set hitcount=hitcount+1 where name='"" + names[i] + ""'"");
",bad
110,147659-v1.0.0,good,"sqlStatement.addBatch(""update users set hitcount=hitcount+1 where name=?"");
sqlStatement.setString(1, names[i]);
",good
111,147659-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
sqlStatement.setString(1, names[i]);
",bad
112,147659-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",bad
113,147659-v1.0.0,good,"// Use a whitelist or other input validation to ensure that the data variable only contains safe input
String safeData = validateInput(data);
sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, safeData);
",good
114,146429-v1.0.0,java,"resultSet = sqlStatement.executeQuery(""select * from users where name='""+data+""'"");
",bad
115,146429-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""select * from users where name=?"");
preparedStatement.setString(1, data);
resultSet = preparedStatement.executeQuery();
",good
116,147047-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",bad
117,148187-v1.0.0,java,"data = request.getParameter(""name"");
baseObject.action(data , request, response);
",bad
118,148187-v1.0.0,good,"public void action(String data, HttpServletRequest request, HttpServletResponse response) throws SQLException {
    String sql = ""SELECT * FROM users WHERE name = ?"";
    try (Connection conn = DriverManager.getConnection(dbUrl, username, password);
         PreparedStatement pstmt = conn.prepareStatement(sql)) {
        pstmt.setString(1, data);
        ResultSet rs = pstmt.executeQuery();
        // process result set
    }
}
",good
119,148187-v1.0.0,java,"data = cookieSources[0].getValue();
",bad
120,148187-v1.0.0,good,"// Instead of using the first cookie value, loop through all cookies and validate/sanitize each value before using it.
for (Cookie cookie : cookieSources) {
    String value = cookie.getValue();
    // Validate and sanitize the value here before using it in a SQL query.
    // For example, you could use a prepared statement with parameterized queries.
}
",good
121,148187-v1.0.0,java,"dataContainer.containerOne = data;
(new CWE89_SQL_Injection__getQueryString_Servlet_prepareStatement_67b()).badSink(dataContainer , request, response );
",bad
122,148187-v1.0.0,good,"// Use getParameter() method to retrieve the 'id' parameter
String id = request.getParameter(""id"");

// Validate and sanitize the 'id' parameter before using it in a SQL query
// This can be done using prepared statements or other methods to prevent SQL injection

// Example using prepared statements
PreparedStatement pstmt = conn.prepareStatement(""SELECT * FROM table WHERE id = ?"");
pstmt.setString(1, id);
ResultSet rs = pstmt.executeQuery();
",good
123,148198-v1.0.0,java,"data = request.getParameter(""name"");
",bad
124,148198-v1.0.0,good,"String name = request.getParameter(""name"");
PreparedStatement stmt = conn.prepareStatement(""SELECT * FROM users WHERE name = ?"");
stmt.setString(1, name);
ResultSet rs = stmt.executeQuery();
",good
125,147185-v1.0.0,java,"resultSet = sqlStatement.executeQuery(""select * from users where name='""+data+""'"");
",bad
126,147185-v1.0.0,good,"preparedStatement = dbConnection.prepareStatement(""select * from users where name=?"");
preparedStatement.setString(1, data);
resultSet = preparedStatement.executeQuery();
",good
127,147185-v1.0.0,java,"preparedStatement = connection.prepareStatement(""select name from users where id=0"");
",bad
128,147185-v1.0.0,good,"preparedStatement = connection.prepareStatement(""select name from users where id=?"");
preparedStatement.setInt(1, 0);
",good
129,147185-v1.0.0,java,"Boolean result = sqlStatement.execute(""insert into users (status) values ('updated') where name='""+data+""'"");
",bad
130,147185-v1.0.0,good,"PreparedStatement pstmt = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
pstmt.setString(1, data);
Boolean result = pstmt.executeUpdate() > 0;
",good
131,147891-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",bad
132,147891-v1.0.0,java,"resultSet = sqlStatement.executeQuery(""select * from users where name='""+data+""'"");
",bad
133,147891-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""select * from users where name = ?"");
preparedStatement.setString(1, data);
resultSet = preparedStatement.executeQuery();
",good
134,147891-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""select * from users where name='"" + data + ""'"");
",bad
135,147891-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",good
136,147112-v1.0.0,java,"resultSet = sqlStatement.executeQuery(""select * from users where name='""+data+""'"");
",bad
137,147112-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""select * from users where name=?"");
preparedStatement.setString(1, data);
resultSet = preparedStatement.executeQuery();
",good
138,147112-v1.0.0,java,"StringTokenizer tokenizer = new StringTokenizer(request.getQueryString(), ""&"");
while (tokenizer.hasMoreTokens())
{
    String token = tokenizer.nextToken();
    if(token.startsWith(""id=""))
    {
        data = token.substring(3);
        break;
    }
}
",bad
139,147112-v1.0.0,good,"String id = request.getParameter(""id"");
if (id != null) {
    data = id;
}
",good
140,147112-v1.0.0,java,"resultSet = sqlStatement.executeQuery(""select * from users where name='""+data+""'"");
",bad
141,147112-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""select * from users where name=?"");
preparedStatement.setString(1, data);
resultSet = preparedStatement.executeQuery();
",good
142,148020-v1.0.0,java,"StringTokenizer tokenizer = new StringTokenizer(request.getQueryString(), ""&"");
while (tokenizer.hasMoreTokens())
{
    String token = tokenizer.nextToken();
    if(token.startsWith(""id=""))
    {
        data = token.substring(3);
        break;
    }
}
",bad
143,148020-v1.0.0,good,"String id = request.getParameter(""id"");
data = id != null ? id : """";
",good
144,140885-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",bad
145,146186-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name='""+data+""'"");
",bad
146,146186-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",good
147,146186-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",bad
148,146186-v1.0.0,good,"String sanitizedData = sanitizeInput(data);
sqlStatement.setString(1, sanitizedData);
",good
149,146186-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
sqlStatement.setString(1, names[i]);
",bad
150,146186-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
sqlStatement.setString(1, names[i]);
",good
151,146639-v1.0.0,java,"sqlStatement.addBatch(""update users set hitcount=hitcount+1 where name='"" + names[i] + ""'"");
",bad
152,146639-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
for (int i = 0; i < names.length; i++) {
    preparedStatement.setString(1, names[i]);
    preparedStatement.addBatch();
}
int resultsArray[] = preparedStatement.executeBatch();
",good
153,146639-v1.0.0,java,"String names[] = data.split(""-"");
...
sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
...
sqlStatement.setString(1, names[i]);
",bad
154,146639-v1.0.0,good,"// Validate and sanitize the input
String names[] = data.split(""-"");
for (int i = 0; i < names.length; i++) {
    names[i] = sanitizeInput(names[i]);
}
...
sqlStatement.setString(1, names[i]);
",good
155,146639-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",bad
156,146639-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",good
157,146932-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name='""+data+""'"");
",bad
158,146932-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",good
159,146406-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name=?"");
sqlStatement.setString(1, data);
",bad
160,146406-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""insert into users (status) values ('updated') where name = ?"");
sqlStatement.setString(1, data);
",good
161,146406-v1.0.0,java,"data = request.getParameter(""name"");
sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",bad
162,146406-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",good
163,146406-v1.0.0,java,"resultSet = sqlStatement.executeQuery(""select * from users where name='""+data+""'"");
",bad
164,146406-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""select * from users where name = ?"");
preparedStatement.setString(1, data);
resultSet = preparedStatement.executeQuery();
",good
165,148246-v1.0.0,java,"data = request.getParameter(""name"");
sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
",bad
166,148246-v1.0.0,good,"data = request.getParameter(""name"");
sqlStatement = dbConnection.prepareStatement(""select * from users where name=?"");
sqlStatement.setString(1, data);
// Ensure data is sanitized or validated before using it in the SQL query
",good
167,147231-v1.0.0,java,"sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
sqlStatement.setString(1, names[i]);
",bad
168,147231-v1.0.0,good,"sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
for (int i = 0; i < names.length; i++) {
    sqlStatement.setString(1, names[i]);
    sqlStatement.addBatch();
}
sqlStatement.executeBatch();
",good
169,147231-v1.0.0,java,"sqlStatement.addBatch(""update users set hitcount=hitcount+1 where name='"" + names[i] + ""'"");
",bad
170,147231-v1.0.0,good,"PreparedStatement preparedStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
for (int i = 0; i < names.length; i++) {
    preparedStatement.setString(1, names[i]);
    preparedStatement.addBatch();
}
int resultsArray[] = preparedStatement.executeBatch();
",good
171,147231-v1.0.0,java,"String names[] = data.split(""-"");
...
sqlStatement = dbConnection.prepareStatement(""update users set hitcount=hitcount+1 where name=?"");
for (int i = 0; i < names.length; i++)
{
    sqlStatement.setString(1, names[i]);
    sqlStatement.addBatch();
}
",bad
